Input,Approved name
FHL2,four and a half LIM domains 2
PLD2,phospholipase D2
CPB2,carboxypeptidase B2
HIPK3,homeodomain interacting protein kinase 3
MIR107,microRNA 107
INO80,INO80 complex ATPase subunit
ATXN3,ataxin 3
LRRC40,leucine rich repeat containing 40
ZSCAN21,zinc finger and SCAN domain containing 21
MIR92A1,microRNA 92a-1
KLHL15,kelch like family member 15
PSMD3,"proteasome 26S subunit, non-ATPase 3"
EEF1B2,eukaryotic translation elongation factor 1 beta 2
L3HYPDH,trans-L-3-hydroxyproline dehydratase
ATRX,ATRX chromatin remodeler
TFAP2C,transcription factor AP-2 gamma
NFKB2,nuclear factor kappa B subunit 2
MAP3K2,mitogen-activated protein kinase kinase kinase 2
KIF3A,kinesin family member 3A
EXOSC7,exosome component 7
IDH3G,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma
MAPK14,mitogen-activated protein kinase 14
DDX42,DEAD-box helicase 42
BAG4,BAG cochaperone 4
MIA,MIA SH3 domain containing
SERPINB9,serpin family B member 9
GNAS,GNAS complex locus
ZC3H7A,zinc finger CCCH-type containing 7A
OAZ1,ornithine decarboxylase antizyme 1
TMPO,thymopoietin
RGCC,regulator of cell cycle
NHP2,NHP2 ribonucleoprotein
PSME3,proteasome activator subunit 3
COX17,cytochrome c oxidase copper chaperone COX17
ZNF791,zinc finger protein 791
GALNT15,polypeptide N-acetylgalactosaminyltransferase 15
TSPYL4,TSPY like 4
NDFIP1,Nedd4 family interacting protein 1
PTGER3,prostaglandin E receptor 3
NT5C3A,"5'-nucleotidase, cytosolic IIIA"
MTA1,metastasis associated 1
GPD1L,glycerol-3-phosphate dehydrogenase 1 like
THAP1,THAP domain containing 1
RASD2,RASD family member 2
AKR1C1,aldo-keto reductase family 1 member C1
CBWD2,COBW domain containing 2
TDRD12,tudor domain containing 12
UBE4B,ubiquitination factor E4B
ZNF516,zinc finger protein 516
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B
PHLDB2,pleckstrin homology like domain family B member 2
KCTD9P2,potassium channel tetramerization domain containing 9 pseudogene 2
GPR143,G protein-coupled receptor 143
KRT20,keratin 20
ZHX1,zinc fingers and homeoboxes 1
PDCD5,programmed cell death 5
MS4A12,membrane spanning 4-domains A12
RNF126,ring finger protein 126
GTPBP4,GTP binding protein 4
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
PANK4,pantothenate kinase 4 (inactive)
FLOT1,flotillin 1
TAF4,TATA-box binding protein associated factor 4
AGTR1,angiotensin II receptor type 1
PRKCD,protein kinase C delta
HABP4,hyaluronan binding protein 4
MECOM,MDS1 and EVI1 complex locus
AP1G2,adaptor related protein complex 1 subunit gamma 2
FLNA,filamin A
TFR2,transferrin receptor 2
PTPRCAP,protein tyrosine phosphatase receptor type C associated protein
PFKM,"phosphofructokinase, muscle"
FANCA,FA complementation group A
ZBTB21,zinc finger and BTB domain containing 21
UBE2D4,ubiquitin conjugating enzyme E2 D4 (putative)
HEY1,hes related family bHLH transcription factor with YRPW motif 1
RNF43,ring finger protein 43
RAB18,"RAB18, member RAS oncogene family"
MAX,MYC associated factor X
APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G
EFTUD2,elongation factor Tu GTP binding domain containing 2
TAOK1,TAO kinase 1
SUZ12,SUZ12 polycomb repressive complex 2 subunit
THOP1,thimet oligopeptidase 1
SIN3B,SIN3 transcription regulator family member B
NBN,nibrin
RIOK1,RIO kinase 1
SPATA2L,spermatogenesis associated 2 like
CDV3,CDV3 homolog
EXOSC1,exosome component 1
TMEM216,transmembrane protein 216
APOH,apolipoprotein H
JAK3,Janus kinase 3
LAMP1,lysosomal associated membrane protein 1
PEX19,peroxisomal biogenesis factor 19
CIITA,class II major histocompatibility complex transactivator
DENND4C,DENN domain containing 4C
HNRNPH2,heterogeneous nuclear ribonucleoprotein H2
DCUN1D1,defective in cullin neddylation 1 domain containing 1
NEK8,NIMA related kinase 8
LAS1L,LAS1 like ribosome biogenesis factor
CD2BP2,CD2 cytoplasmic tail binding protein 2
EXOC1,exocyst complex component 1
SAMM50,SAMM50 sorting and assembly machinery component
MSI2,musashi RNA binding protein 2
RPS12,ribosomal protein S12
CIC,capicua transcriptional repressor
PNN,"pinin, desmosome associated protein"
ANKRD35,ankyrin repeat domain 35
RPA1,replication protein A1
ETS2,"ETS proto-oncogene 2, transcription factor"
WDR82,WD repeat domain 82
SIVA1,SIVA1 apoptosis inducing factor
TPT1,"tumor protein, translationally-controlled 1"
CD59,CD59 molecule (CD59 blood group)
SDF4,stromal cell derived factor 4
GCM1,glial cells missing transcription factor 1
CEP290,centrosomal protein 290
KCNS3,potassium voltage-gated channel modifier subfamily S member 3
PRSS2,serine protease 2
DDX21,DExD-box helicase 21
PSMD1,"proteasome 26S subunit, non-ATPase 1"
BUB3,BUB3 mitotic checkpoint protein
PPFIA3,PTPRF interacting protein alpha 3
TFRC,transferrin receptor
UHRF1,ubiquitin like with PHD and ring finger domains 1
ANKRD17,ankyrin repeat domain 17
CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
CEBPB,CCAAT enhancer binding protein beta
C2CD6,C2 calcium dependent domain containing 6
IGFBP3,insulin like growth factor binding protein 3
P4HB,prolyl 4-hydroxylase subunit beta
SPART,spartin
AATF,apoptosis antagonizing transcription factor
EPS15,epidermal growth factor receptor pathway substrate 15
CDR2,cerebellar degeneration related protein 2
RNF213,ring finger protein 213
CBLB,Cbl proto-oncogene B
ANKRD2,ankyrin repeat domain 2
THOC3,THO complex 3
BBC3,BCL2 binding component 3
MRPS25,mitochondrial ribosomal protein S25
EXOC2,exocyst complex component 2
ARMC12,armadillo repeat containing 12
BRK1,BRICK1 subunit of SCAR/WAVE actin nucleating complex
PCOLCE,procollagen C-endopeptidase enhancer
SYT17,synaptotagmin 17
TRPV1,transient receptor potential cation channel subfamily V member 1
LRIG2,leucine rich repeats and immunoglobulin like domains 2
ANKHD1,ankyrin repeat and KH domain containing 1
PLAGL1,PLAG1 like zinc finger 1
CPNE1,copine 1
TPP1,tripeptidyl peptidase 1
CCND3,cyclin D3
TFPI2,tissue factor pathway inhibitor 2
WWC3,WWC family member 3
ITPK1,inositol-tetrakisphosphate 1-kinase
GIPC2,GIPC PDZ domain containing family member 2
INTS10,integrator complex subunit 10
GALNT12,polypeptide N-acetylgalactosaminyltransferase 12
BAG5,BAG cochaperone 5
TCEAL1,transcription elongation factor A like 1
JOSD1,Josephin domain containing 1
TXK,TXK tyrosine kinase
MEF2C,myocyte enhancer factor 2C
CASP3,caspase 3
ACKR2,atypical chemokine receptor 2
MIR451A,microRNA 451a
FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
DAZAP1,DAZ associated protein 1
TUBGCP4,tubulin gamma complex associated protein 4
NT5DC2,5'-nucleotidase domain containing 2
EIF2AK1,eukaryotic translation initiation factor 2 alpha kinase 1
USE1,unconventional SNARE in the ER 1
PUS7,pseudouridine synthase 7
MIR22HG,MIR22 host gene
SMG8,SMG8 nonsense mediated mRNA decay factor
SF1,splicing factor 1
ARHGEF11,Rho guanine nucleotide exchange factor 11
SGPL1,sphingosine-1-phosphate lyase 1
CDK16,cyclin dependent kinase 16
MIR15B,microRNA 15b
FAU,FAU ubiquitin like and ribosomal protein S30 fusion
TNFRSF1A,TNF receptor superfamily member 1A
DGKA,diacylglycerol kinase alpha
KIF5B,kinesin family member 5B
POU5F1,POU class 5 homeobox 1
UIMC1,ubiquitin interaction motif containing 1
RPLP0,ribosomal protein lateral stalk subunit P0
RANBP1,RAN binding protein 1
HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2
SMAP2,small ArfGAP2
PPP1R12A,protein phosphatase 1 regulatory subunit 12A
DIXDC1,DIX domain containing 1
MNAT1,MNAT1 component of CDK activating kinase
G3BP2,G3BP stress granule assembly factor 2
HNRNPLL,heterogeneous nuclear ribonucleoprotein L like
TRMT112,tRNA methyltransferase subunit 11-2
MIRLET7I,microRNA let-7i
HNF1A-AS1,HNF1A antisense RNA 1
NOTCH1,notch receptor 1
KEAP1,kelch like ECH associated protein 1
SF3A1,splicing factor 3a subunit 1
BICD1,BICD cargo adaptor 1
FGG,fibrinogen gamma chain
PLEC,plectin
NDUFA9,NADH:ubiquinone oxidoreductase subunit A9
MED23,mediator complex subunit 23
GH1,growth hormone 1
DEPDC1B,DEP domain containing 1B
IGF1R,insulin like growth factor 1 receptor
TRIM21,tripartite motif containing 21
RSL1D1,ribosomal L1 domain containing 1
DDX51,DEAD-box helicase 51
RYR2,ryanodine receptor 2
RANBP2,RAN binding protein 2
CSF1,colony stimulating factor 1
NCAPH2,non-SMC condensin II complex subunit H2
PDE4B,phosphodiesterase 4B
CLTC,clathrin heavy chain
MYBPC1,myosin binding protein C1
HDAC3,histone deacetylase 3
SCML2,Scm polycomb group protein like 2
RABGEF1,RAB guanine nucleotide exchange factor 1
YIF1A,"Yip1 interacting factor homolog A, membrane trafficking protein"
TOP2B,DNA topoisomerase II beta
AHCY,adenosylhomocysteinase
CDKN1B,cyclin dependent kinase inhibitor 1B
KRT16,keratin 16
PELP1,"proline, glutamate and leucine rich protein 1"
HIF1AN,hypoxia inducible factor 1 subunit alpha inhibitor
LIMS2,LIM zinc finger domain containing 2
BCOR,BCL6 corepressor
RYR3,ryanodine receptor 3
FAM118B,family with sequence similarity 118 member B
PFN1,profilin 1
MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"
SLC41A3,solute carrier family 41 member 3
FBXO22,F-box protein 22
NMNAT1,nicotinamide nucleotide adenylyltransferase 1
HDAC4,histone deacetylase 4
NEK2,NIMA related kinase 2
IGF2BP3,insulin like growth factor 2 mRNA binding protein 3
PLK3,polo like kinase 3
GRM1,glutamate metabotropic receptor 1
CD63,CD63 molecule
MORC2,MORC family CW-type zinc finger 2
RPL5,ribosomal protein L5
RNF6,ring finger protein 6
PEPD,peptidase D
RFC3,replication factor C subunit 3
ASNS,asparagine synthetase (glutamine-hydrolyzing)
TMEM231,transmembrane protein 231
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
PDE4DIP,phosphodiesterase 4D interacting protein
GRB10,growth factor receptor bound protein 10
ARMC6,armadillo repeat containing 6
HECTD3,HECT domain E3 ubiquitin protein ligase 3
RAB31,"RAB31, member RAS oncogene family"
HNRNPH1,heterogeneous nuclear ribonucleoprotein H1
NIT1,nitrilase 1
TOPAZ1,testis and ovary specific PAZ domain containing 1
AK4,adenylate kinase 4
DDX3X,DEAD-box helicase 3 X-linked
PPP5C,protein phosphatase 5 catalytic subunit
CELF2,CUGBP Elav-like family member 2
USP2,ubiquitin specific peptidase 2
NOSIP,nitric oxide synthase interacting protein
TSC1,TSC complex subunit 1
SMURF1,SMAD specific E3 ubiquitin protein ligase 1
LCP2,lymphocyte cytosolic protein 2
SIN3A,SIN3 transcription regulator family member A
CXCR2,C-X-C motif chemokine receptor 2
LEMD3,LEM domain containing 3
ZNF644,zinc finger protein 644
ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2"
MED17,mediator complex subunit 17
KIF2C,kinesin family member 2C
RASSF8,Ras association domain family member 8
ARAF,"A-Raf proto-oncogene, serine/threonine kinase"
NFKBIB,NFKB inhibitor beta
SLC25A13,solute carrier family 25 member 13
AZIN1,antizyme inhibitor 1
ISG15,ISG15 ubiquitin like modifier
GMEB1,glucocorticoid modulatory element binding protein 1
OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2"
MRGPRG-AS1,MRGPRG antisense RNA 1
RUNX3,RUNX family transcription factor 3
APP,amyloid beta precursor protein
STAM2,signal transducing adaptor molecule 2
NFE2L2,"nuclear factor, erythroid 2 like 2"
PRKCQ,protein kinase C theta
ELN,elastin
RFXANK,regulatory factor X associated ankyrin containing protein
IMPA2,inositol monophosphatase 2
BRD7,bromodomain containing 7
GGCT,gamma-glutamylcyclotransferase
SNX29,sorting nexin 29
GLS2,glutaminase 2
WDR5,WD repeat domain 5
PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha
RPS23,ribosomal protein S23
SPRY2,sprouty RTK signaling antagonist 2
XRCC5,X-ray repair cross complementing 5
TUBB4A,tubulin beta 4A class IVa
SNRPB,small nuclear ribonucleoprotein polypeptides B and B1
MDM2,MDM2 proto-oncogene
NUP98,nucleoporin 98 and 96 precursor
SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1
LYAR,Ly1 antibody reactive
DOCK4,dedicator of cytokinesis 4
ZCCHC18,zinc finger CCHC-type containing 18
IL6ST,interleukin 6 signal transducer
HEXIM1,HEXIM P-TEFb complex subunit 1
HSP90AB1,heat shock protein 90 alpha family class B member 1
OCLN,occludin
CHUK,component of inhibitor of nuclear factor kappa B kinase complex
SEC63,"SEC63 homolog, protein translocation regulator"
PRKD1,protein kinase D1
SLC9A3R2,SLC9A3 regulator 2
RBM17,RNA binding motif protein 17
EEF1D,eukaryotic translation elongation factor 1 delta
OXSR1,oxidative stress responsive kinase 1
ZBTB49,zinc finger and BTB domain containing 49
LSM11,"LSM11, U7 small nuclear RNA associated"
PPP2R2D,protein phosphatase 2 regulatory subunit Bdelta
TRIM14,tripartite motif containing 14
ARHGEF10,Rho guanine nucleotide exchange factor 10
FPR2,formyl peptide receptor 2
SUMO3,small ubiquitin like modifier 3
ELF3,E74 like ETS transcription factor 3
XPOT,exportin for tRNA
MRPS15,mitochondrial ribosomal protein S15
MTA2,metastasis associated 1 family member 2
SMN2,"survival of motor neuron 2, centromeric"
UBE2V2,ubiquitin conjugating enzyme E2 V2
GLOD4,glyoxalase domain containing 4
PPP2R5E,protein phosphatase 2 regulatory subunit B'epsilon
TRAFD1,TRAF-type zinc finger domain containing 1
CER1,"cerberus 1, DAN family BMP antagonist"
CARD10,caspase recruitment domain family member 10
WDR18,WD repeat domain 18
CUX1,cut like homeobox 1
COPB2,COPI coat complex subunit beta 2
CPA5,carboxypeptidase A5
CLASP2,cytoplasmic linker associated protein 2
MIR217,microRNA 217
SNAI2,snail family transcriptional repressor 2
NCOA1,nuclear receptor coactivator 1
TRA2B,transformer 2 beta homolog
PFKP,"phosphofructokinase, platelet"
DCTN1,dynactin subunit 1
SDC4,syndecan 4
RBL2,RB transcriptional corepressor like 2
CUL4A,cullin 4A
CAP1,cyclase associated actin cytoskeleton regulatory protein 1
ARMC2,armadillo repeat containing 2
SRP9,signal recognition particle 9
PPP1R8,protein phosphatase 1 regulatory subunit 8
LUC7L2,"LUC7 like 2, pre-mRNA splicing factor"
SNRNP40,small nuclear ribonucleoprotein U5 subunit 40
MAGEB18,MAGE family member B18
ANXA1,annexin A1
SMAD4,SMAD family member 4
LIN7C,"lin-7 homolog C, crumbs cell polarity complex component"
CCDC59,coiled-coil domain containing 59
TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1
HRK,"harakiri, BCL2 interacting protein"
PPM1H,"protein phosphatase, Mg2+/Mn2+ dependent 1H"
SLC20A1,solute carrier family 20 member 1
IFITM3,interferon induced transmembrane protein 3
MYL12B,myosin light chain 12B
ABCA1,ATP binding cassette subfamily A member 1
MAP1LC3A,microtubule associated protein 1 light chain 3 alpha
SAC3D1,SAC3 domain containing 1
GTPBP1,GTP binding protein 1
EYS,eyes shut homolog
FOXJ3,forkhead box J3
TIMELESS,timeless circadian regulator
DZIP1,DAZ interacting zinc finger protein 1
TRIM37,tripartite motif containing 37
GABARAPL2,GABA type A receptor associated protein like 2
ZNF669,zinc finger protein 669
CDC14B,cell division cycle 14B
FRAT1,FRAT regulator of WNT signaling pathway 1
ANKRD12,ankyrin repeat domain 12
RFTN1,"raftlin, lipid raft linker 1"
AP2M1,adaptor related protein complex 2 subunit mu 1
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
MIR9-3,microRNA 9-3
KRT10,keratin 10
NRIP1,nuclear receptor interacting protein 1
DGCR8,DGCR8 microprocessor complex subunit
PRDX1,peroxiredoxin 1
IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker)
GIT1,GIT ArfGAP 1
CCL7,C-C motif chemokine ligand 7
TRIP10,thyroid hormone receptor interactor 10
TMEM67,transmembrane protein 67
SF3A3,splicing factor 3a subunit 3
AMBRA1,autophagy and beclin 1 regulator 1
COL1A2,collagen type I alpha 2 chain
USHBP1,USH1 protein network component harmonin binding protein 1
CRK,"CRK proto-oncogene, adaptor protein"
FBXO33,F-box protein 33
IL1B,interleukin 1 beta
TRAF1,TNF receptor associated factor 1
NUMB,NUMB endocytic adaptor protein
GRPEL1,"GrpE like 1, mitochondrial"
FOXP3,forkhead box P3
LPIN1,lipin 1
APOBEC3C,apolipoprotein B mRNA editing enzyme catalytic subunit 3C
CTBP2,C-terminal binding protein 2
KCTD1,potassium channel tetramerization domain containing 1
SFRP4,secreted frizzled related protein 4
POGLUT1,protein O-glucosyltransferase 1
NT5C2,"5'-nucleotidase, cytosolic II"
PITX1,paired like homeodomain 1
OLA1,Obg like ATPase 1
HELLS,"helicase, lymphoid specific"
LANCL1,LanC like 1
HGF,hepatocyte growth factor
BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase
METTL22,methyltransferase like 22
LRP6,LDL receptor related protein 6
RPL23AP42,ribosomal protein L23a pseudogene 42
BFAR,bifunctional apoptosis regulator
CRYBA4,crystallin beta A4
PRPF19,pre-mRNA processing factor 19
BDKRB1,bradykinin receptor B1
S100B,S100 calcium binding protein B
EPPK1,epiplakin 1
BCL9,BCL9 transcription coactivator
STX5,syntaxin 5
GNB2,G protein subunit beta 2
PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma
NCOA3,nuclear receptor coactivator 3
TMPRSS3,transmembrane serine protease 3
CDC34,cell division cycle 34
CST6,cystatin E/M
BAD,BCL2 associated agonist of cell death
YBEY,ybeY metalloendoribonuclease
UBQLN1,ubiquilin 1
NLRP10,NLR family pyrin domain containing 10
DPY19L1,dpy-19 like C-mannosyltransferase 1
STATH,statherin
TUBA1C,tubulin alpha 1c
SLC22A5,solute carrier family 22 member 5
CBL,Cbl proto-oncogene
CCNH,cyclin H
CCT5,chaperonin containing TCP1 subunit 5
RBL1,RB transcriptional corepressor like 1
TBL1Y,transducin beta like 1 Y-linked
KIAA1107,KIAA1107
MTF2,metal response element binding transcription factor 2
MIR206,microRNA 206
ULK1,unc-51 like autophagy activating kinase 1
CNNM3,cyclin and CBS domain divalent metal cation transport mediator 3
MAP3K7,mitogen-activated protein kinase kinase kinase 7
TYMS,thymidylate synthetase
HIRA,histone cell cycle regulator
PTPRH,protein tyrosine phosphatase receptor type H
EHD1,EH domain containing 1
RNASE4,ribonuclease A family member 4
C1QA,complement C1q A chain
RALA,RAS like proto-oncogene A
GMPS,guanine monophosphate synthase
SYNGAP1,synaptic Ras GTPase activating protein 1
CACNA1C,calcium voltage-gated channel subunit alpha1 C
NRP2,neuropilin 2
ENO1,enolase 1
TOMM20,translocase of outer mitochondrial membrane 20
ZNF431,zinc finger protein 431
HPF1,histone PARylation factor 1
BIRC3,baculoviral IAP repeat containing 3
BRD1,bromodomain containing 1
TMCO3,transmembrane and coiled-coil domains 3
SNAP25,synaptosome associated protein 25
MYH14,myosin heavy chain 14
CENPA,centromere protein A
IPO4,importin 4
LRG1,leucine rich alpha-2-glycoprotein 1
NELFE,negative elongation factor complex member E
ZNF763,zinc finger protein 763
